titulo,artista
Say Say Say - Remastered 2015,Paul McCartney
Part-Time Lover,Stevie Wonder
Alright - 2015 Remaster,Supergrass
My Sweet Lord - 2014 Remaster,George Harrison
Yellow Submarine,The Beatles
Pretty Girls Make Graves - 2011 Remaster,The Smiths
Octopus's Garden - Remastered 2009,The Beatles
She Drives Me Wild,Michael Jackson
In the Closet,Michael Jackson
I Love to Love,Tina Charles
Liberian Girl - 2012 Remastered Version,Michael Jackson
Smooth Criminal - 2012 Remaster,Michael Jackson
Dirty Diana - 2012 Remaster,Michael Jackson
I Just Can't Stop Loving You (feat. Siedah Garrett) - 2012 Remaster,Michael Jackson
You Rock My World,Michael Jackson
Upside Down,Diana Ross
Hopelessly Devoted To You - From “Grease”,Olivia Newton-John
Man in the Mirror - 2012 Remaster,Michael Jackson
Another Part of Me - 2012 Remaster,Michael Jackson
Just Good Friends - 2012 Remaster,Michael Jackson
